ds,y,unique_id
2011-01-31,16182.0,CA
2011-02-28,143014.0,CA
2011-03-31,158549.0,CA
2011-04-30,155169.5,CA
2011-05-31,158865.0,CA
2011-06-30,159275.0,CA
2011-07-31,168793.5,CA
2011-08-31,168780.5,CA
2011-09-30,169093.0,CA
2011-10-31,182211.5,CA
2011-11-30,169699.5,CA
2011-12-31,176992.5,CA
2012-01-31,185659.5,CA
2012-02-29,180509.0,CA
2012-03-31,199466.5,CA
2012-04-30,192223.5,CA
2012-05-31,197299.0,CA
2012-06-30,203850.0,CA
2012-07-31,206377.0,CA
2012-08-31,210337.0,CA
2012-09-30,206637.0,CA
2012-10-31,204509.0,CA
2012-11-30,191559.0,CA
2012-12-31,197625.0,CA
2013-01-31,204192.5,CA
2013-02-28,194300.5,CA
2013-03-31,220284.5,CA
2013-04-30,213009.5,CA
2013-05-31,229542.0,CA
2013-06-30,232494.0,CA
2013-07-31,240536.5,CA
2013-08-31,243943.5,CA
2013-09-30,238849.0,CA
2013-10-31,243323.5,CA
2013-11-30,225725.5,CA
2013-12-31,224450.5,CA
2014-01-31,232297.5,CA
2014-02-28,219780.5,CA
2014-03-31,246284.5,CA
2014-04-30,240196.0,CA
2014-05-31,246260.0,CA
2014-06-30,243546.5,CA
2014-07-31,250349.5,CA
2014-08-31,257817.5,CA
2014-09-30,249237.5,CA
2014-10-31,257634.5,CA
2014-11-30,244099.0,CA
2014-12-31,235130.5,CA
2015-01-31,247667.5,CA
2015-02-28,231447.0,CA
2015-03-31,259083.5,CA
2015-04-30,254819.5,CA
2015-05-31,269301.5,CA
2015-06-30,269189.0,CA
2015-07-31,282488.0,CA
2015-08-31,292115.0,CA
2015-09-30,279195.5,CA
2015-10-31,293970.5,CA
2015-11-30,266826.0,CA
2015-12-31,266258.0,CA
2016-01-31,285662.5,CA
2016-02-29,274526.5,CA
2016-03-31,296918.0,CA
2016-04-30,302751.0,CA
2016-05-31,233307.5,CA
2016-06-30,228592.96,CA
2016-07-31,240854.33,CA
2016-08-31,249501.46999999997,CA
2016-09-30,242258.89999999997,CA
2016-10-31,261049.58499999996,CA
2016-11-30,239554.58499999996,CA
2011-01-31,4453.5,CA_1
2011-02-28,38911.5,CA_1
2011-03-31,42836.0,CA_1
2011-04-30,42200.0,CA_1
2011-05-31,42302.5,CA_1
2011-06-30,43604.5,CA_1
2011-07-31,45264.5,CA_1
2011-08-31,44825.5,CA_1
2011-09-30,43919.0,CA_1
2011-10-31,47029.0,CA_1
2011-11-30,43980.0,CA_1
2011-12-31,46994.0,CA_1
2012-01-31,48699.0,CA_1
2012-02-29,47962.5,CA_1
2012-03-31,53848.0,CA_1
2012-04-30,52675.5,CA_1
2012-05-31,54270.5,CA_1
2012-06-30,56384.5,CA_1
2012-07-31,56917.5,CA_1
2012-08-31,57346.0,CA_1
2012-09-30,55455.0,CA_1
2012-10-31,53623.5,CA_1
2012-11-30,51039.0,CA_1
2012-12-31,52570.0,CA_1
2013-01-31,54520.5,CA_1
2013-02-28,53028.0,CA_1
2013-03-31,59569.5,CA_1
2013-04-30,57318.5,CA_1
2013-05-31,62035.5,CA_1
2013-06-30,63049.5,CA_1
2013-07-31,64579.0,CA_1
2013-08-31,64924.0,CA_1
2013-09-30,62857.5,CA_1
2013-10-31,64541.5,CA_1
2013-11-30,60231.5,CA_1
2013-12-31,60210.5,CA_1
2014-01-31,60609.0,CA_1
2014-02-28,58210.0,CA_1
2014-03-31,65377.5,CA_1
2014-04-30,64463.5,CA_1
2014-05-31,66951.5,CA_1
2014-06-30,66682.5,CA_1
2014-07-31,68411.5,CA_1
2014-08-31,71239.5,CA_1
2014-09-30,68001.5,CA_1
2014-10-31,71684.0,CA_1
2014-11-30,68705.0,CA_1
2014-12-31,66832.0,CA_1
2015-01-31,68964.5,CA_1
2015-02-28,64605.0,CA_1
2015-03-31,72076.0,CA_1
2015-04-30,72264.0,CA_1
2015-05-31,75998.0,CA_1
2015-06-30,72298.0,CA_1
2015-07-31,74697.0,CA_1
2015-08-31,75932.5,CA_1
2015-09-30,71784.0,CA_1
2015-10-31,75406.5,CA_1
2015-11-30,68448.0,CA_1
2015-12-31,68802.0,CA_1
2016-01-31,72716.0,CA_1
2016-02-29,69137.5,CA_1
2016-03-31,75264.0,CA_1
2016-04-30,76562.5,CA_1
2016-05-31,58837.0,CA_1
2016-06-30,54345.725,CA_1
2016-07-31,56856.17,CA_1
2016-08-31,58431.59,CA_1
2016-09-30,56699.454999999994,CA_1
2016-10-31,64639.719999999994,CA_1
2016-11-30,65698.28,CA_1
2011-01-31,3883.0,CA_2
2011-02-28,33688.0,CA_2
2011-03-31,37151.0,CA_2
2011-04-30,36194.0,CA_2
2011-05-31,37155.0,CA_2
2011-06-30,37107.5,CA_2
2011-07-31,40197.0,CA_2
2011-08-31,39507.5,CA_2
2011-09-30,39396.5,CA_2
2011-10-31,41906.0,CA_2
2011-11-30,38639.0,CA_2
2011-12-31,40041.0,CA_2
2012-01-31,41209.0,CA_2
2012-02-29,39912.0,CA_2
2012-03-31,44434.0,CA_2
2012-04-30,43378.5,CA_2
2012-05-31,45019.0,CA_2
2012-06-30,47222.5,CA_2
2012-07-31,48529.0,CA_2
2012-08-31,49329.0,CA_2
2012-09-30,47896.5,CA_2
2012-10-31,46816.5,CA_2
2012-11-30,43434.5,CA_2
2012-12-31,45218.0,CA_2
2013-01-31,46266.0,CA_2
2013-02-28,43236.5,CA_2
2013-03-31,50140.5,CA_2
2013-04-30,47422.5,CA_2
2013-05-31,52243.5,CA_2
2013-06-30,53220.0,CA_2
2013-07-31,53974.0,CA_2
2013-08-31,54904.5,CA_2
2013-09-30,54522.0,CA_2
2013-10-31,55292.5,CA_2
2013-11-30,50420.0,CA_2
2013-12-31,50050.0,CA_2
2014-01-31,51456.5,CA_2
2014-02-28,49184.0,CA_2
2014-03-31,55247.5,CA_2
2014-04-30,51176.0,CA_2
2014-05-31,51597.5,CA_2
2014-06-30,48908.5,CA_2
2014-07-31,51606.0,CA_2
2014-08-31,52130.0,CA_2
2014-09-30,50437.0,CA_2
2014-10-31,49488.0,CA_2
2014-11-30,47282.5,CA_2
2014-12-31,46932.0,CA_2
2015-01-31,48536.5,CA_2
2015-02-28,43381.0,CA_2
2015-03-31,49229.0,CA_2
2015-04-30,48082.0,CA_2
2015-05-31,51974.0,CA_2
2015-06-30,61601.5,CA_2
2015-07-31,67930.0,CA_2
2015-08-31,72136.0,CA_2
2015-09-30,69788.5,CA_2
2015-10-31,74881.0,CA_2
2015-11-30,68892.0,CA_2
2015-12-31,70011.0,CA_2
2016-01-31,74721.0,CA_2
2016-02-29,70692.0,CA_2
2016-03-31,75019.0,CA_2
2016-04-30,79514.0,CA_2
2016-05-31,62368.0,CA_2
2016-06-30,69812.9,CA_2
2016-07-31,75795.23999999999,CA_2
2016-08-31,80017.15499999998,CA_2
2016-09-30,77322.64499999999,CA_2
2016-10-31,82138.04,CA_2
2016-11-30,77651.26999999999,CA_2
2011-01-31,4912.0,CA_3
2011-02-28,44510.0,CA_3
2011-03-31,49535.5,CA_3
2011-04-30,48022.0,CA_3
2011-05-31,49798.0,CA_3
2011-06-30,50119.5,CA_3
2011-07-31,52712.0,CA_3
2011-08-31,53560.5,CA_3
2011-09-30,53417.5,CA_3
2011-10-31,58463.0,CA_3
2011-11-30,54822.5,CA_3
2011-12-31,56147.5,CA_3
2012-01-31,59527.5,CA_3
2012-02-29,58181.0,CA_3
2012-03-31,62949.0,CA_3
2012-04-30,59240.0,CA_3
2012-05-31,60092.5,CA_3
2012-06-30,61117.0,CA_3
2012-07-31,61806.5,CA_3
2012-08-31,63442.0,CA_3
2012-09-30,63731.0,CA_3
2012-10-31,65299.0,CA_3
2012-11-30,60902.5,CA_3
